deviceId,timestamp,accel_x,accel_y,accel_z,vibration_magnitude,status,time_diff
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:06:08,0.89999986,-8.800002,3.5,9.513150632046358,NORMAL,11.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:06:12,1.3,-8.8,3.75,9.653626261669757,NORMAL,4.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:06:17,0.49999985,-9.000002,2.75,9.424040314536224,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:06:27,1.2999998,-8.0,3.25,8.732267716922108,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:06:32,-0.40000013,-7.600002,4.5,8.841381707855623,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:06:37,0.59999985,-9.2,3.5,9.861541452531648,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:06:47,1.5999999,-8.0,3.25,8.781941680516901,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:06:52,0.69999987,-9.600001,4.0,10.423531983833552,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:06:57,0.3999999,-9.6,3.5,10.225947384961454,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:07:02,1.2999998,-8.800001,0.25,8.899017759281135,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:07:08,0.7999999,-9.0,0.25,9.038943513486519,NORMAL,6.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:07:12,-0.2000002,-9.000001,5.0,10.297573407361611,NORMAL,4.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:07:22,1.5999998,-8.2,3.25,8.96451333648403,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:07:27,-1.1000001,-8.400001,3.75,9.264584017644884,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:07:32,0.19999976,-8.4,3.75,9.20122273961456,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:07:37,0.2999999,-9.000001,3.25,9.573532155897373,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:07:47,0.7999999,-9.0,3.5,9.689685229149605,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:08:08,0.5999998,-8.800001,3.75,9.58449358912619,NORMAL,21.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:08:18,0.7999998,-8.8,3.5,9.504209576813848,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:08:23,0.5999999,-8.600001,3.5,9.304300999000462,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:09:09,0.7999999,-8.800001,3.25,9.415015530523624,NORMAL,46.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:09:18,1.0999999,-8.600001,3.0,9.17442188805382,NORMAL,9.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:09:43,0.5999998,-8.800001,3.5,9.489468760684185,NORMAL,25.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:09:58,0.99999976,-8.600001,3.5,9.338630344970351,NORMAL,15.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:10:09,1.0999998,-8.599999,3.25,9.2591836767612,NORMAL,11.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:10:39,-0.50000024,-10.600001,5.25,11.839447683063643,NORMAL,30.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:10:44,3.3,-8.599999,-0.25,9.214796948386926,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:10:49,0.29999977,-8.400002,4.0,9.308599973250761,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:10:54,0.2999999,-8.4,3.0,8.924684865024648,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:11:09,0.5999999,-8.799999,3.5,9.489466912319205,NORMAL,15.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:11:39,0.5999998,-8.4,3.25,9.026765741947669,NORMAL,30.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:11:49,0.5999999,-7.6000023,9.0,11.794915635137256,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:11:54,0.3999998,-8.599999,5.25,10.083773234261123,NORMAL,5.0
